,trial,stayBarOn,foragingTime,choiceMade,rewarded,rewardSize,trialErrors,timeToFixate,minFixTimeToStart,holdFixTime,timeToChoose,ITI,timeInErrorState,allForagingTimes,shrinkRate,handlingTime,allJuiceAmounts,choiceTime,completeTime,trialErrors_error1,trialErrors_error2,monkey,file,date,session,trial_uid
4407,1,right,5,stay,yes,0.2,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.47905055806040764,0.47905998723581433,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|1
4408,2,right,5,leave,no,0.0,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.47907962766475976,0.47919145633932203,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|2
4409,3,left,5,stay,yes,0.2,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.4792099363403395,0.47921826387755573,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|3
4410,4,left,5,stay,yes,0.187,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.47923824517056346,0.4792463261401281,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|4
4411,5,left,5,stay,yes,0.174,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.4792980011552572,0.4793064866680652,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|5
4412,6,left,5,stay,yes,0.16099999999999998,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.4793270465452224,0.47933581203687936,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|6
4413,7,left,5,leave,no,0.0,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.4793716927524656,0.4794805437559262,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|7
4414,8,right,5,leave,no,0.0,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.47951667266897857,0.4796280086738989,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|8
4415,9,left,5,stay,yes,0.2,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.4797590906964615,0.4797679027542472,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|9
4416,10,left,5,stay,yes,0.187,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.4798532942077145,0.47986232163384557,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|10
